City,Year,Month,AverageTemperature
0,1843,3,24.008
0,1845,8,26.793
0,1846,10,25.804
0,1846,12,26.763
0,1849,1,26.05
0,1849,2,24.535
0,1849,3,25.167
0,1849,4,23.92
0,1849,5,25.174
0,1849,6,27.128
0,1849,7,27.706
0,1849,8,27.537
0,1849,9,26.565
0,1849,10,26.073
0,1849,11,26.993
0,1849,12,25.193
0,1850,1,26.106
0,1850,2,25.635
0,1850,3,24.776
0,1850,4,24.33
0,1850,5,24.201
0,1850,6,26.773
0,1850,7,27.771
0,1850,8,27.625
0,1850,9,26.797
0,1850,10,26.316
0,1850,11,25.796
0,1850,12,24.262
0,1851,1,25.296
0,1851,2,23.974
0,1851,3,23.677
0,1851,4,24.349
0,1851,5,26.33
0,1851,6,27.467
0,1851,7,27.163
0,1851,8,27.416
0,1851,9,26.277
0,1851,10,26.591
0,1851,11,25.243
0,1851,12,25.528
0,1852,1,23.464
0,1852,2,25.581
0,1852,3,23.836
0,1852,4,24.621
0,1852,5,26.412
0,1852,6,26.929
0,1852,7,27.301
0,1852,8,27.26
0,1852,9,26.425
0,1852,10,26.15
0,1852,11,26.144
0,1852,12,26.575
0,1853,1,23.741
0,1853,2,22.949
0,1853,3,22.914
0,1853,4,24.062
0,1853,5,25.987
0,1853,6,26.511
0,1853,7,27.963
0,1853,8,26.843
0,1853,9,26.291
0,1853,10,25.942
0,1853,11,26.246
0,1853,12,25.529
0,1854,1,23.859
0,1854,2,23.116
0,1854,3,24.708
0,1854,4,23.899
0,1854,5,25.896
0,1854,6,26.553
0,1854,7,26.422
0,1854,8,26.306
0,1854,9,26.003
0,1854,10,26.983
0,1854,11,25.995
0,1854,12,24.147
0,1855,1,25.252
0,1855,2,23.404
0,1855,3,22.99
0,1855,4,24.521
0,1855,5,26.881
0,1855,6,26.875
0,1855,7,26.112
0,1855,8,26.133
0,1855,9,25.407
0,1855,10,25.149
0,1855,11,25.903
0,1855,12,24.875
0,1856,1,22.9
0,1856,2,23.171
0,1856,3,23.403
0,1856,4,24.499
0,1856,5,25.529
0,1856,6,27.622
0,1856,7,27.031
0,1856,8,27.774
0,1856,9,25.523
0,1856,10,25.079
0,1856,11,24.832
0,1856,12,25.085
0,1857,1,24.368
0,1857,2,24.64
0,1857,3,22.985
0,1857,4,22.837
0,1857,5,25.193
0,1857,6,27.255
0,1857,7,27.513
0,1857,8,27.465
0,1857,9,26.056
0,1857,10,26.313
0,1857,11,26.44
0,1857,12,25.134
0,1858,1,25.741
0,1858,2,23.609
0,1858,3,23.705
0,1858,4,25.07
0,1858,5,26.921
0,1858,6,27.326
0,1858,7,27.3
0,1858,8,26.868
0,1858,9,26.63
0,1858,10,27.744
0,1858,11,25.631
0,1858,12,24.828
0,1859,1,24.613
0,1859,2,25.493
0,1859,3,24.91
0,1859,4,25.212
0,1859,5,27.005
0,1859,6,27.544
0,1859,7,27.236
0,1859,8,27.572
0,1859,9,26.208
0,1859,10,26.387
0,1859,11,26.273
0,1859,12,24.142
0,1860,1,24.223
0,1860,2,23.344
0,1860,3,22.541
0,1860,4,24.214
0,1860,5,25.668
0,1860,6,28.006
0,1860,7,27.417
0,1860,8,26.739
0,1860,9,26.345
0,1860,10,26.271
0,1860,11,26.136
0,1860,12,24.583
0,1861,1,23.84
0,1861,2,23.01
0,1861,3,23.597
0,1861,4,24.421
0,1861,5,25.655
0,1861,6,27.807
0,1861,7,27.874
0,1861,8,27.198
0,1861,9,26.75
0,1861,10,26.148
0,1861,11,27.405
0,1861,12,26.103
0,1862,1,25.097
0,1862,2,23.567
0,1862,3,23.764
0,1862,4,24.697
0,1862,5,26.154
0,1862,6,27.323
0,1862,7,27.679
0,1862,8,27.275
0,1862,9,26.346
0,1862,10,25.773
0,1862,11,25.744
0,1862,12,24.227
0,1863,1,24.77
0,1863,2,24.601
0,1863,3,24.913
0,1863,4,24.837
0,1863,5,25.546
0,1863,6,27.429
